#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:true" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:true" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:true" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:true" name="distribution" x="@popSize.t:true">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant
14000	-6231.125503802712	-6226.683325647811	-4.442178154901229	-6226.683325647811	0.8769944145549678	1.2859946941527078	-4.190645654947573
15000	-6227.134782985463	-6224.0220017999245	-3.112781185538854	-6224.0220017999245	0.8662259762710113	0.7063482939723642	-3.460428014438601
16000	-6228.723187612654	-6224.331210040635	-4.391977572019376	-6224.331210040635	0.866040462578876	1.3296131821715065	-4.107089512560558
17000	-6229.807846204251	-6224.626648276983	-5.181197927268199	-6224.626648276983	0.8888611404524793	1.5752848990038268	-4.726761783092512
18000	-6228.118783313782	-6224.648538557016	-3.470244756766172	-6224.648538557016	0.8481106234020972	0.45503804595762226	-4.2576190028038265
19000	-6228.093692631595	-6225.013639239977	-3.080053391618429	-6225.013639239977	0.8128143409919217	0.7652914390893479	-3.3475519431933347
20000	-6227.547942629934	-6224.595450669125	-2.9524919608092484	-6224.595450669125	0.8962788751822821	0.5262687589086799	-3.594435209047822
21000	-6229.327489480508	-6226.363403230547	-2.9640862499605514	-6226.363403230547	0.8612631718013478	0.6419240998058128	-3.407371456843344
22000	-6228.41119257099	-6224.525941762901	-3.8852508080894115	-6224.525941762901	0.964856826597471	1.0282839435081108	-3.8573594695570574
23000	-6230.275052631431	-6225.024107349496	-5.250945281935322	-6225.024107349496	0.8698848938029418	1.6598636817301136	-4.744209802378546
24000	-6228.63731468542	-6225.823701720875	-2.813612964545303	-6225.823701720875	0.8451266084247913	0.6184689916579303	-3.294121187700384
25000	-6230.323403668033	-6227.275543558328	-3.047860109705313	-6227.275543558328	0.927970470837262	0.6379305655858813	-3.497385942635315
26000	-6228.968073939151	-6226.127396832775	-2.840677106375627	-6226.127396832775	0.852959579492604	0.5157652695610594	-3.5027806273278284
27000	-6231.176579333224	-6227.43239513429	-3.7441841989337843	-6227.43239513429	1.0054357921739796	0.9761192560895103	-3.7683547103509483
28000	-6230.696114411626	-6226.763058738296	-3.9330556733295237	-6226.763058738296	0.8397418170530883	1.1702929113162133	-3.7758016043002605
29000	-6228.5807919195195	-6225.12614952217	-3.4546423973496667	-6225.12614952217	0.9545420002376444	0.8068204634470688	-3.669296506856161
30000	-6233.896609476348	-6229.021276596599	-4.875332879749621	-6229.021276596599	0.7859477303629391	0.32181947806389893	-6.009097397528248
31000	-6228.1406089671145	-6224.652795407721	-3.4878135593936177	-6224.652795407721	0.8675673120523753	0.8844761841234141	-3.6105732509457535
32000	-6233.046653782423	-6229.364663284827	-3.681990497596823	-6229.364663284827	1.0747529954697224	0.5353555141904509	-4.306814737868111
33000	-6231.136345941798	-6227.51916111302	-3.617184828777324	-6227.51916111302	1.0207638812004998	0.5711337043650383	-4.177316767256706
34000	-6227.942331118942	-6223.731339574073	-4.210991544869019	-6223.731339574073	0.8658236600377965	0.3715107749227452	-5.201168956284214
35000	-6229.737058282768	-6227.0185783387915	-2.718479943976692	-6227.0185783387915	0.7992040518340024	0.545195975686554	-3.325089904516309
36000	-6227.221207109059	-6224.345853992619	-2.8753531164398023	-6224.345853992619	0.8352981389394779	0.5902380600856532	-3.4025824482324496
37000	-6229.56204894324	-6225.178028194891	-4.3840207483486875	-6225.178028194891	0.8723120956279076	1.2976122033975916	-4.12349493942266
38000	-6229.687516869141	-6225.904827583684	-3.782689285457094	-6225.904827583684	0.9307668547024819	1.0138674615906051	-3.768917097321729
39000	-6228.934496362705	-6226.029575173618	-2.9049211890877347	-6226.029575173618	0.8742803252220634	0.6456688133493845	-3.34238976858269
40000	-6228.362123011452	-6224.956967731846	-3.4051552796065545	-6224.956967731846	0.8312921875744321	0.9238910690246114	-3.4843163845626632
41000	-6229.6595171222	-6226.210013056553	-3.4495040656465763	-6226.210013056553	0.8925652572214281	0.6733994925055667	-3.84492059153201
42000	-6227.921646360607	-6224.475958276499	-3.445688084108487	-6224.475958276499	0.9165559221198456	0.6978786386087615	-3.8053981456334456
43000	-6227.9045486236555	-6224.7600743542225	-3.144474269433018	-6224.7600743542225	0.8673400709106868	0.5492967235911196	-3.743590772782859
44000	-6228.476857878748	-6224.9293570157	-3.547500863048101	-6224.9293570157	0.8133973045396029	0.9604125942290556	-3.5878931642444902
45000	-6228.998843126652	-6225.622105879291	-3.376737247361434	-6225.622105879291	0.8999692787340365	0.6840770367550678	-3.756421988228052
46000	-6229.3819936858235	-6226.108904628942	-3.273089056881882	-6226.108904628942	0.8890932777366506	0.3996902842167069	-4.190154378131178
47000	-6235.220329649743	-6230.187529999809	-5.032799649933882	-6230.187529999809	0.9537588534679152	1.5603308529925013	-4.587901765907731
48000	-6230.979730775247	-6227.318857145862	-3.6608736293849136	-6227.318857145862	0.9501415276848967	0.42533690892304055	-4.5157473266068875
49000	-6231.2174217165	-6227.785595617427	-3.4318260990726244	-6227.785595617427	0.8039816310152378	0.9591266459648975	-3.4735582514474728
50000	-6228.299036264803	-6224.6888121249585	-3.610224139844717	-6224.6888121249585	0.8617322895534288	0.41999625892412545	-4.477733614912621
51000	-6227.019618616118	-6223.965852318719	-3.053766297399651	-6223.965852318719	0.8775301999595211	0.6410086902177536	-3.49847856227103
52000	-6229.628956534067	-6225.63636392824	-3.992592605826868	-6225.63636392824	1.011284118925091	1.032668606910924	-3.96044627363416
53000	-6229.525649287692	-6225.531780356252	-3.993868931440183	-6225.531780356252	0.9549287421451779	1.0560302722682462	-3.939352079646314
54000	-6226.77430882694	-6223.438790304067	-3.3355185228733237	-6223.438790304067	0.9171030024252219	0.806419079528424	-3.5506702446887592
55000	-6233.399234663828	-6229.864900073369	-3.5343345904583754	-6229.864900073369	0.911083923656936	0.41626619103893925	-4.410764931511498
56000	-6230.770688424171	-6227.488696992517	-3.2819914316533847	-6227.488696992517	0.9527824934614519	0.48683412336457826	-4.001823254681032
57000	-6227.745508407839	-6224.199646747673	-3.5458616601667274	-6224.199646747673	0.9598856708193076	0.9133335016964303	-3.636515844095718
